symbol,name
507300.NS,The Ravalgaon Sugar Farm Limited
507315.NS,Sakthi Sugars Ltd.
507410.NS,Walchandnagar Industries Ltd
507438.NS,IFB Agro Industries Ltd
507474.NS,Kothari Fermanatation & Biochem Ltd
507486.NS,Caprolactam Chemicals ltd.
507488.NS,G.M. Breweries Ltd.
507490.NS,Rana Sugars Ltd.
507498.NS,Piccadily Sugar  & Allied Ltd.
507514.NS,Som Distilleries & Breweries Ltd.
507515.NS,C.J. Gelatine Products Ltd.
507526.NS,Associated Alcohols & Breweries Ltd
507530.NS,THAKKERS GROUP LIMITED
507543.NS,Coromandel Agro Products & Oils Ltd
507552.NS,Foods & Inns Ltd.
507580.NS,IVP Ltd.
507598.NS,KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD
507609.NS,Olympic Oil Industries Ltd.
507621.NS,Milkfood Ltd.
507645.NS,Polson Ltd.
507663.NS,Sagar Soya Products Ltd.
507685.NS,Wipro  Ltd.
507690.NS,Orient Beverages Ltd.
507717.NS,Dhanuka Agritech Ltd.
507747.NS,TTK Healthcare Ltd.
507753.NS,TGV SRAAC LIMITED
507759.NS,Lime Chemicals Ltd.
507779.NS,Kanpur Plastipack Limited
507785.NS,Tainwala Chemicals & Plastics Ltd
507789.NS,Jagsonpal Pharmaceuticals Limited
507794.NS,Khaitan Chemicals & Fertilizers Ltd
507808.NS,United Leasing & Industries Ltd
507813.NS,National Oxygen Ltd.
507815.NS,Gillette India Ltd.
507817.NS,Wires & Fabriks (SA) Ltd.
507828.NS,ANSAL HOUSING LIMITED
507833.NS,Computer Point Ltd.
507836.NS,Mac Charles (India) Ltd.
507852.NS,Addi Industries Ltd.
507864.NS,Pioneer Investcorp Ltd
507872.NS,Ashnoor Textiles Mills Ltd.
507878.NS,Unitech Ltd.
507880.NS,V.I.P. Industries Ltd.
507910.NS,FIBERWEB (INDIA) LTD.
507912.NS,LKP Finance Limited
507917.NS,East Buildtech Limited
507938.NS,Manipal Finance Corporation Ltd.
507944.NS,Bajaj Steel Industries Ltd.
507946.NS,Kiduja  India  Ltd
507948.NS,Key Corp Ltd
507952.NS,Shikhar Leasing and Trading Ltd.
507960.NS,Gujarat Hotels Ltd.
507962.NS,Rajath Finance Limited
507966.NS,Ras Resorts & Apart Hotels Ltd.
507968.NS,Jolly Plastic Industries Ltd.
507970.NS,Paramount Cosmetics (India) Ltd
507981.NS,Jindal Hotels Ltd.
507987.NS,Jupiter Industries & Leasing Ltd.
507998.NS,Simmonds-Marshall Ltd
508136.NS,B & A Ltd.
508486.NS,Hawkins Cooker Ltd.
508494.NS,Warren Tea Ltd.
508571.NS,Cochin Malabar Estates & Indus. Ltd
508664.NS,Best Eastern Hotels Limited
508670.NS,Neelamalai Agro Industries Ltd.
508807.NS,IST Limited
508814.NS,Cosmo First Limited
508860.NS,Diamant Infrastructure Limited
508867.NS,New Markets Advisory Ltd
508869.NS,Apollo Hospitals Enterprises Ltd.
508875.NS,Nitin Castings Limited
508905.NS,SMIFS Capital Markets Ltd.
508906.NS,Everest Industries Ltd.
508918.NS,IRONWOOD EDUCATION LIMITED
508922.NS,MSR India Limited
508929.NS,AVISHKAR INFRA REALTY LIMITED
508933.NS,AYM Syntex Limited
508941.NS,Panasonic Carbon India Co.Ltd
508954.NS,Finkurve Financial Services Limited
508956.NS,HB Leasing & Finance Co. Ltd.
508961.NS,Shricon Industries Ltd.
508963.NS,TRUSTWAVE SECURITIES LIMITED
508969.NS,Sulabh Engineers & Services Limited
508980.NS,Frontier Capital Limited
508989.NS,Navneet Education Limited
508993.NS,Kedia Construction Co. Ltd.
509003.NS,Transoceanic Properties Ltd.
509009.NS,AuSom Enterprise Limited
